"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"José Gonçalves de Minas","MG","4516.00","1129.00","Não","","","","","","",""
"José Raydan","MG","4938.00","1769.00","Não","","","","","","",""
"Joviânia","GO","7372.00","6703.00","Não","","","","","","",""
"Juara","MT","34815.00","27626.00","Não","","","","","","",""
"Juatuba","MG","26484.00","26037.00","Sim","11717.00","150.00","","","","",""
"Juazeiro","BA","215183.00","174758.00","Sim","15000.00","377.40","117.50","227.10","32.80","0.00","0.00"
"Juazeiro do Norte","CE","271926.00","261252.00","Não","","120.00","","","","",""
"Juazeiro do Piauí","PI","5472.00","1701.00","Não","","","","","","",""
"Jucás","CE","24773.00","14724.00","Sim","4570.00","114.40","72.00","41.50","0.90","0.00","0.00"
"Jucati","PE","11361.00","3030.00","Não","","","","","","",""
"Juína","MT","40905.00","35387.00","Sim","15000.00","239.40","182.00","57.40","0.00","0.00","0.00"
"Juiz de Fora","MG","564310.00","557895.00","Sim","278680.00","403.50","226.10","70.10","52.30","55.00","0.00"
"Júlio Borges","PI","5614.00","1691.00","Não","","","","","","",""
"Junco do Seridó","PB","7104.00","4672.00","Não","","","","","","",""
"Jundiá","RN","3873.00","1038.00","Não","","","","","","",""
"Jundiaí","SP","414810.00","396966.00","Sim","396966.00","2019.00","954.00","326.00","216.00","498.00","25.00"
"Junqueirópolis","SP","20524.00","16878.00","Sim","","900.00","400.00","300.00","100.00","100.00","0.00"
"Juquiá","SP","18908.00","11926.00","Não","","","","","","",""
"Juramento","MG","4316.00","2384.00","Não","","","","","","",""
"Juranda","PR","7391.00","5648.00","Não","","","","","","",""
"Juripiranga","PB","10717.00","10035.00","Não","","","","","","",""
"Juru","PB","9886.00","4386.00","Não","","","","","","",""
"Juruti","PA","56908.00","19159.00","Não","","","","","","",""
"Jussara","PR","6983.00","6258.00","Sim","6000.00","216.00","","","","",""
"Juti","MS","6638.00","4416.00","Não","","","","","","",""
"Kaloré","PR","4154.00","2967.00","Não","","","","","","",""
"Lábrea","AM","45245.00","29051.00","Não","","","","","","",""
"Lacerdópolis","SC","2245.00","1184.00","Não","","","","","","",""
"Ladário","MS","22968.00","21762.00","Não","","","","","","",""
"Lafaiete Coutinho","BA","3757.00","2026.00","Não","","","","","","",""
"Lagamar","MG","7627.00","5146.00","Não","","468.00","","","","",""
"Lagarto","SE","103576.00","53356.00","Não","","","","","","",""
"Lages","SC","157743.00","154935.00","Sim","109000.00","362.60","167.40","55.90","64.90","62.00","12.40"
"Lagoa Bonita do Sul","RS","2884.00","416.00","Não","","","","","","",""
"Lagoa da Confusão","TO","13034.00","8083.00","Sim","6000.00","150.00","","","","",""
"Lagoa da Prata","MG","51601.00","50427.00","Sim","20000.00","1500.00","633.60","198.20","40.60","41.80","585.80"
"Lagoa de Dentro","PB","7643.00","4122.00","Não","","","","","","",""
"Lagoa de Pedras","RN","7503.00","2402.00","Não","","","","","","",""
"Lagoa do Carro","PE","17886.00","12997.00","Não","","","","","","",""
"Lagoa do Mato","MA","11235.00","4576.00","Não","","","","","","",""
