"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Mutunópolis","GO","3,793.00","2,503.00","","Não","","","","","","",""
"Nanuque","MG","40,839.00","36,794.00","555.00","Sim","","168.00","55.00","100.00","13.00","0.00","0.00"
"Não-Me-Toque","RS","17,484.00","15,323.00","","Não","","1,800.00","","","","",""
"Narandiba","SP","4,809.00","3,482.00","71.00","Sim","3,482.00","70.00","","","","",""
"Natal","RN","877,640.00","877,640.00","3153.30","Sim","114,118.00","2,633.00","1,472.60","526.60","211.30","422.50","0.00"
"Natércia","MG","4,731.00","2,803.00","","Não","","","","","","",""
"Natividade","RJ","15,324.00","12,239.00","164.00","Sim","5,973.00","155.00","90.00","50.00","0.00","0.00","15.00"
"Natuba","PB","10,458.00","3,597.00","","Não","","","","","","",""
"Navegantes","SC","79,285.00","75,156.00","","Não","","","","","","",""
"Naviraí","MS","54,051.00","49,896.00","","Não","","813.20","166.10","68.30","58.70","9.00","511.10"
"Nazaré","BA","28,451.00","23,851.00","","Não","","","","","","",""
"Nazareno","MG","8,555.00","6,503.00","1760.00","Sim","6,503.00","253.80","83.30","80.10","34.10","16.00","40.30"
"Nazaré Paulista","SP","18,346.00","15,548.00","","Não","","","","","","",""
"Nazário","GO","9,022.00","7,089.00","","Não","","","","","","",""
"Nepomuceno","MG","26,709.00","20,692.00","341.00","Sim","20,692.00","330.00","165.00","95.00","40.00","14.00","16.00"
"Nerópolis","GO","29,293.00","28,106.00","285.00","Sim","28,106.00","280.00","215.00","22.00","25.00","15.00","3.00"
"Neves Paulista","SP","8,936.00","8,064.00","120.00","Sim","8,064.00","60.00","","","","",""
"Nhamundá","AM","20,899.00","8,015.00","","Não","","","","","","",""
"Nhandeara","SP","11,427.00","9,257.00","12.00","Sim","7,325.00","4.00","1.00","1.00","1.00","0.00","1.00"
"Nicolau Vergueiro","RS","1,689.00","624.00","","Não","","","","","","",""
"Nilo Peçanha","BA","13,914.00","3,448.00","","Não","","","","","","",""
"Nina Rodrigues","MA","14,264.00","5,080.00","","Não","","","","","","",""
"Nioaque","MS","14,085.00","6,907.00","","Não","","","","","","",""
"Nipoã","SP","5,126.00","4,554.00","","Não","","","","","","",""
"Nísia Floresta","RN","27,260.00","10,751.00","","Não","","","","","","",""
"Niterói","RJ","511,786.00","511,786.00","2729.80","Sim","207,910.00","1,969.40","1,403.60","287.10","165.00","34.30","79.40"
"Nobres","MT","15,338.00","12,733.00","","Não","","","","","","",""
"Nonoai","RS","11,760.00","8,829.00","1740.00","Sim","8,800.00","245.90","77.10","85.60","22.30","59.90","1.00"
"Nordestina","BA","13,095.00","4,150.00","","Não","","","","","","",""
"Nossa Senhora das Dores","SE","26,460.00","17,253.00","","Não","","","","","","",""
"Nossa Senhora das Graças","PR","4,008.00","3,325.00","320.00","Sim","3,020.00","32.00","12.60","13.40","3.00","2.50","0.50"
"Nossa Senhora do Socorro","SE","181,503.00","175,856.00","26.90","Sim","15,360.00","19.40","","","","",""
"Nossa Senhora dos Remédios","PI","8,661.00","3,898.00","","Não","","","","","","",""
"Nova Aliança","SP","6,875.00","5,696.00","48.50","Sim","5,520.00","43.50","5.00","10.00","12.00","13.00","3.50"
"Nova Alvorada","RS","3,586.00","1,501.00","414.10","Sim","1,501.00","104.00","2.00","59.00","26.00","2.00","15.00"
"Nova Alvorada do Sul","MS","21,300.00","15,926.00","165.20","Sim","1,000.00","156.20","80.00","50.20","23.80","0.00","2.20"
"Nova América","GO","2,346.00","1,710.00","200.00","Sim","1,710.00","120.00","43.00","35.00","2.00","30.00","10.00"
"Nova América da Colina","PR","3,456.00","2,508.00","","Não","","","","","","",""
"Nova Andradina","MS","53,517.00","45,535.00","248.00","Sim","","160.00","72.00","26.00","19.00","16.00","27.00"
"Nova Araçá","RS","4,690.00","3,376.00","440.40","Sim","","132.10","","","","",""
"Nova Aurora","GO","2,199.00","1,997.00","3.00","Sim","","1.00","0.50","0.50","0.00","0.00","0.00"
"Nova Aurora","PR","10,650.00","8,114.00","678.20","Sim","4,057.00","271.20","134.90","80.30","17.30","28.80","9.90"
"Nova Bassano","RS","9,824.00","6,128.00","2727.00","Sim","6,128.00","360.00","108.00","125.00","72.00","36.00","19.00"
"Nova Boa Vista","RS","1,798.00","530.00","","Não","","","","","","",""
"Nova Brasilândia D Oeste","RO","20,459.00","8,627.00","","Não","","","","","","",""
"Nova Bréscia","RS","3,321.00","1,576.00","80.00","Sim","1,500.00","50.00","","","","",""
"Nova Campina","SP","9,647.00","6,528.00","28.80","Sim","3,000.00","4.00","1.00","1.00","1.00","0.00","1.00"
"Nova Canaã","BA","16,451.00","6,745.00","","Não","","","","","","",""
"Nova Canaã Paulista","SP","1,911.00","795.00","24.00","Sim","794.00","1.00","1.00","0.00","0.00","0.00","0.00"
"Nova Candelária","RS","2,710.00","698.00","445.10","Sim","698.00","24.70","17.30","4.10","2.00","1.30","0.00"
"Nova Cantu","PR","5,550.00","3,068.00","72.00","Sim","3,068.00","11.80","2.10","2.90","2.70","2.10","2.00"
"Nova Colinas","MA","5,340.00","2,416.00","","Não","","","","","","",""
"Nova Cruz","RN","37,233.00","25,577.00","","Não","","","","","","",""
"Nova Era","MG","17,607.00","15,489.00","240.00","Sim","13,800.00","238.00","","","","",""
"Nova Erechim","SC","4,945.00","3,714.00","","Não","","","","","","",""
"Nova Esperança","PR","27,821.00","25,425.00","883.30","Sim","25,425.00","720.00","313.20","185.70","106.50","10.20","104.40"
"Nova Esperança do Sudoeste","PR","5,063.00","1,732.00","198.00","Sim","1,732.00","96.00","29.00","26.00","13.00","22.00","6.00"
"Nova Esperança do Sul","RS","5,292.00","4,077.00","","Não","","","","","","",""
"Nova Europa","SP","11,013.00","10,214.00","","Não","","","","","","",""
"Nova Friburgo","RJ","190,084.00","166,376.00","","Não","","","","","","",""
"Nova Granada","SP","21,307.00","19,746.00","","Não","","","","","","",""
"Nova Hartz","RS","21,317.00","17,742.00","","Não","","230.00","99.00","81.00","28.00","22.00","0.00"
